,Subcity,MPG
0,Uptown West,16.579809896520448
1,Downtown West,22.750451601258607
2,Uptown Crosstown,18.704862433884625
3,Downtown Crosstown,12.88908852909577
4,Uptown West2,19.553769965498308
5,Uptown Crossdown,13.265860900135884
6,Downtown East,18.642541148719378
7,Downtown West2,17.173625985492258
