,Behavior,MPG
0,Parked,0.0
1,Aggressive Driving,12.718322666149408
2,Tailgating,15.778184344337653
3,Riding Brakes,21.852876639876126
4,Highway Speeding,23.827083652028232
5,Idling,0.0
6,Commute,29.669169581655876
