,timestamp,vehicle_speed,instantaneous_mpg
0,1362667038.195,0.0,0.0
1,1362667038.197,0.0,0.0
2,1362667038.195,0.0,0.0
3,1362667038.193,0.0,0.0
4,1362667038.2,0.0,0.0
5,1362667038.204,0.0,0.0
6,1362667038.24,0.0,0.0
7,1362667038.239,0.0,0.0
8,1362667038.241,0.0,0.0
9,1362667038.244,0.0,0.0
10,1362667038.241,0.0,0.0
11,1362667038.249,0.0,0.0
12,1362667038.248,0.0,0.0
13,1362667038.248,0.0,0.0
14,1362667038.282,0.0,0.0
15,1362667038.285,0.0,0.0
16,1362667038.285,0.0,0.0
17,1362667038.29,0.0,0.0
18,1362667038.287,0.0,0.0
19,1362667038.29,0.0,0.0
20,1362667038.296,0.0,0.0
21,1362667038.297,0.0,0.0
22,1362667038.331,0.0,0.0
23,1362667038.332,0.0,0.0
24,1362667038.332,0.0,0.0
25,1362667038.334,0.0,0.0
26,1362667038.334,0.0,0.0
27,1362667038.334,0.0,0.0
28,1362667038.34,0.0,0.0
29,1362667038.344,0.0,0.0
30,1362667038.346,0.0,0.0
31,1362667038.38,0.0,0.0
32,1362667038.38,0.0,0.0
33,1362667038.381,0.0,0.0
34,1362667038.383,0.0,0.0
35,1362667038.383,0.0,0.0
36,1362667038.383,0.0,0.0
37,1362667038.397,0.0,0.0
38,1362667038.397,0.0,0.0
39,1362667038.43,0.0,0.0
40,1362667038.431,0.0,0.0
41,1362667038.433,0.0,0.0
42,1362667038.435,0.0,0.0
43,1362667038.432,0.0,0.0
44,1362667038.444,0.0,0.0
45,1362667038.435,0.0,0.0
46,1362667038.448,0.0,0.0
47,1362667038.435,0.0,0.0
48,1362667038.448,0.0,0.0
49,1362667038.486,0.0,0.0
50,1362667038.489,0.0,0.0
51,1362667038.49,0.0,0.0
52,1362667038.494,0.0,0.0
53,1362667038.494,0.0,0.0
54,1362667038.495,0.0,0.0
55,1362667038.5,0.0,0.0
56,1362667038.5,0.0,0.0
57,1362667038.507,0.0,0.0
58,1362667038.516,0.0,0.0
59,1362667038.516,0.0,0.0
60,1362667038.52,0.0,0.0
61,1362667038.52,0.0,0.0
62,1362667038.528,0.0,0.0
63,1362667038.532,0.0,0.0
64,1362667038.565,0.0,0.0
65,1362667038.568,0.0,0.0
66,1362667038.568,0.0,0.0
67,1362667038.571,0.0,0.0
68,1362667038.572,0.0,0.0
69,1362667038.572,0.0,0.0
70,1362667038.574,0.0,0.0
71,1362667038.616,0.0,0.0
72,1362667038.629,0.0,0.0
73,1362667038.628,0.0,0.0
74,1362667038.628,0.0,0.0
75,1362667038.631,0.0,0.0
76,1362667038.628,0.0,0.0
77,1362667038.665,0.0,0.0
78,1362667038.665,0.0,0.0
79,1362667038.67,0.0,0.0
80,1362667038.67,0.0,0.0
81,1362667038.671,0.0,0.0
82,1362667038.678,0.0,0.0
83,1362667038.679,0.0,0.0
84,1362667038.679,0.0,0.0
85,1362667038.715,0.0,0.0
86,1362667038.716,0.0,0.0
87,1362667038.748,0.0,0.0
88,1362667038.772,0.0,0.0
89,1362667038.772,0.0,0.0
90,1362667038.75,0.0,0.0
91,1362667038.78,0.0,0.0
92,1362667038.754,0.0,0.0
93,1362667038.764,0.0,0.0
94,1362667038.788,0.0,0.0
95,1362667038.821,0.0,0.0
96,1362667038.824,0.0,0.0
97,1362667038.824,0.0,0.0
98,1362667038.827,0.0,0.0
99,1362667038.826,0.0,0.0
100,1362667038.827,0.0,0.0
