,timestamp,vehicle_speed,instantaneous_mpg
72058,1361455116.299,99.65431188235294,24.56603827320817
72059,1361455116.3,99.64803723529411,24.56603740375412
72060,1361455116.306,99.6417625882353,24.566038272556348
72061,1361455116.315,99.63548794117646,24.56603740375412
72062,1361455116.317,99.62921329411765,24.56603740375412
72063,1361455116.325,99.62293864705882,24.56603827320817
72064,1361455116.331,99.616664,24.566037403102293
72065,1361455116.332,99.61038935294118,24.56603740375412
72066,1361455116.345,99.60411470588235,24.56603827320817
72067,1361455116.347,99.59784005882354,24.566037403102293
72068,1361455116.348,99.5915654117647,24.56603827320817
72069,1361455116.363,99.58529076470589,24.56603740375412
72070,1361455116.366,99.57901611764706,24.566037403102293
72071,1361455116.368,99.57274147058824,24.56603827320817
72072,1361455116.369,99.56646682352941,56.534209760595935
72073,1361455116.37,99.5601921764706,56.22589791468001
72074,1361455116.379,99.55391752941176,55.91758606876409
72075,1361455116.381,99.54764288235295,55.60927422284816
72076,1361455116.384,99.54136823529412,55.30096237693223
72077,1361455116.396,99.5350935882353,54.99265053101631
72078,1361455116.396,99.52881894117647,54.684338685100386
72079,1361455116.413,99.52254429411765,54.37602683918446
72080,1361455116.414,99.51626964705882,54.06771499326854
72081,1361455116.415,99.509995,53.75940314735261
72082,1361455116.415,99.49672571153846,53.45109130143668
72083,1361455116.415,99.48345642307693,53.14277945552076
72084,1361455116.422,99.47018713461539,52.834467609604836
72085,1361455116.427,99.45691784615384,52.52615576368891
72086,1361455116.428,99.44364855769231,52.21784391777299
72087,1361455116.429,99.43037926923077,51.90953207185706
72088,1361455116.443,99.41710998076924,51.601220225941134
72089,1361455116.444,99.4038406923077,51.29290838002521
72090,1361455116.446,99.39057140384615,50.984596534109286
72091,1361455116.459,99.37730211538462,50.67628468819336
72092,1361455116.46,99.36403282692308,50.36797284227744
72093,1361455116.462,99.35076353846154,50.05966099636151
72094,1361455116.463,99.33749425,49.751349150445584
72095,1361455116.465,99.32422496153846,49.44303730452966
72096,1361455116.475,99.31095567307692,49.44303905708393
72097,1361455116.476,99.29768638461539,49.44303730452966
72098,1361455116.485,99.28441709615385,49.44303730717007
72099,1361455116.491,99.27114780769232,49.44303905444352
72100,1361455116.492,99.25787851923077,49.44303730717007
72101,1361455116.505,99.24460923076923,49.44303905444352
72102,1361455116.507,99.2313399423077,49.44303730717007
72103,1361455116.51,99.21807065384615,49.44303730452966
72104,1361455116.523,99.20480136538461,49.44303905708393
72105,1361455116.525,99.19153207692308,49.44303730452966
72106,1361455116.527,99.17826278846154,49.44303730717007
72107,1361455116.539,99.16499350000001,49.44303905444352
72108,1361455116.542,99.15172421153846,49.44303730717007
72109,1361455116.544,99.13845492307692,49.44303905444352
72110,1361455116.555,99.12518563461539,49.44303730717007
72111,1361455116.557,99.11191634615385,49.44303730452966
72112,1361455116.558,99.0986470576923,49.44303905708393
72113,1361455116.56,99.08537776923077,56.534209760595935
72114,1361455116.565,99.07210848076923,56.11893595186397
72115,1361455116.571,99.05883919230769,55.70366214313199
72116,1361455116.573,99.04556990384616,55.288388334400025
72117,1361455116.574,99.03230061538461,54.87311452566806
72118,1361455116.585,99.01903132692308,54.45784071693609
72119,1361455116.587,99.00576203846154,54.042566908204115
72120,1361455116.589,98.99249275,53.62729309947215
72121,1361455116.603,98.97922346153847,53.21201929074018
72122,1361455116.605,98.96595417307692,52.796745482008205
72123,1361455116.606,98.95268488461538,52.38147167327624
72124,1361455116.619,98.93941559615385,51.96619786454427
72125,1361455116.62,98.9261463076923,51.550924055812295
72126,1361455116.624,98.91287701923076,51.13565024708033
72127,1361455116.635,98.89960773076923,50.72037643834836
72128,1361455116.637,98.88633844230769,50.305102629616385
72129,1361455116.646,98.87306915384616,49.88982882088442
72130,1361455116.652,98.85979986538462,49.47455501215245
72131,1361455116.653,98.84653057692307,49.05928120342048
72132,1361455116.654,98.83326128846154,48.64400739468851
72133,1361455116.655,98.819992,48.22873358595654
72134,1361455116.658,98.82210740384615,47.813459777224566
72135,1361455116.658,98.82422280769231,47.3981859684926
72136,1361455116.666,98.82633821153846,46.98291215976063
72137,1361455116.667,98.82845361538462,46.98291041235581
72138,1361455116.668,98.83056901923077,46.98291215976063
72139,1361455116.683,98.83268442307693,46.98291041235581
72140,1361455116.684,98.83479982692307,46.98291215976063
72141,1361455116.686,98.83691523076924,46.98291041235581
72142,1361455116.699,98.83903063461538,46.98291215976063
72143,1361455116.701,98.84114603846153,46.98291041235581
72144,1361455116.704,98.84326144230769,46.98291215976063
72145,1361455116.715,98.84537684615384,46.98291216226966
72146,1361455116.716,98.84749225,46.982910409846774
72147,1361455116.722,98.84960765384615,46.98291216226966
72148,1361455116.725,98.85172305769231,46.982910409846774
72149,1361455116.731,98.85383846153846,46.98291216226966
72150,1361455116.733,98.85595386538462,46.982910409846774
72151,1361455116.746,98.85806926923077,46.98291216226966
72152,1361455116.75,98.86018467307692,46.982910409846774
72153,1361455116.752,98.86230007692308,46.98291216226966
72154,1361455116.749,98.86441548076922,46.3956240305599
72155,1361455116.752,98.86653088461539,46.395625758599834
72156,1361455116.763,98.86864628846153,51.53750016640651
72157,1361455116.764,98.8707616923077,51.537500169124364
72158,1361455116.766,98.87287709615384,51.53750016640651
72159,1361455116.779,98.8749925,51.53750016640651
72160,1361455116.78,98.87710790384615,51.53750016640651
72161,1361455116.784,98.8792233076923,51.53750016640651
72162,1361455116.795,98.88133871153846,51.53750016640651
72163,1361455116.796,98.88345411538461,51.537500169124364
72164,1361455116.805,98.88556951923077,51.53750016640651
72165,1361455116.811,98.88768492307692,51.537498438366576
72166,1361455116.812,98.88980032692308,51.53750016640651
72167,1361455116.826,98.89191573076923,51.53750016640651
72168,1361455116.827,98.89403113461537,51.53750016640651
72169,1361455116.829,98.89614653846154,51.537500169124364
72170,1361455116.843,98.89826194230768,51.53750016640651
72171,1361455116.846,98.90037734615385,51.53750016640651
72172,1361455116.847,98.90249275,51.53750016640651
72173,1361455116.848,98.90460815384616,60.4303799415459
72174,1361455116.85,98.9067235576923,49.44303703184067
